gene_pair	A549	HT29	OVCAR8
ABHD4_ABHD5	-0.609	-0.036	-0.046
ABL1_ABL2	0.088	0.887	0.080
ABR_BCR	1.885	0.778	1.043
ACAP2_ACAP3	2.694	1.999	2.082
ACTG1_ACTR1B	0.946	3.524	4.765
ACVR2A_ACVR2B	1.656	1.359	0.572
AGAP3_AGAP1	0.894	0.964	0.281
AGAP9_AGAP1	-0.631	0.214	-0.229
AKT1_AKT2	-0.157	-0.617	0.727
ALG10_ALG10B	-0.225	-0.930	-0.570
ANKRA2_RFXANK	-0.138	0.707	0.791
ANKRD13A_ANKRD13D	-1.799	-0.080	-0.063
ANXA11_ANXA7	1.643	1.130	0.357
AP1B1_AP2B1	-1.137	-3.834	-2.483
AP2A1_AP2A2	0.311	-0.758	-1.105
AP3M1_AP3M2	-0.873	-1.388	-0.551
AP3S1_AP3S2	-0.010	-0.083	-0.018
APPL1_APPL2	0.886	0.885	-0.161
ARFGEF1_ARFGEF2	-2.344	-3.327	-3.914
ARFIP1_ARFIP2	0.469	0.577	0.749
ARHGEF3_NET1	-0.062	0.400	0.354
ARID1A_ARID1B	-0.974	-0.077	-0.752
ARL8A_ARL8B	-2.474	0.094	-0.271
ARPC1A_ARPC1B	-2.880	-2.167	-1.629
ARPC5_ARPC5L	-1.127	-0.982	0.234
ARPP19_ENSA	-0.824	-0.685	-2.475
ASAP1_ASAP2	0.858	1.443	0.827
ASIC1_ASIC3	1.596	0.776	0.365
ATAD2_ATAD2B	-0.084	-0.374	-0.010
ATAD3A_ATAD3B	3.666	1.277	4.687
ATF2_ATF7	0.907	1.143	0.530
ATP6V0A1_ATP6V0A2	-2.583	-4.256	0.416
B4GALT1_B4GALT2	-0.105	0.334	0.819
BICD1_BICD2	0.180	0.149	0.136
BRWD1_PHIP	0.744	-0.020	-0.209
BTBD1_BTBD2	0.159	-0.791	0.354
BTN2A1_BTN2A2	1.735	0.623	0.012
BTN3A1_BTN3A3	-0.065	-0.129	0.052
CAMKK1_CAMKK2	0.009	0.312	-0.455
CAPZA1_CAPZA2	-4.236	-4.711	-4.054
CBX3_CBX5	-1.197	-0.715	0.735
CCNE1_CCNE2	-1.045	-2.564	-4.088
CCNG1_CCNG2	0.499	0.302	0.234
CCNT1_CCNT2	-2.591	-1.704	-1.226
CCNY_CCNYL1	-0.179	0.588	1.018
CDC34_UBE2R2	-0.037	0.138	0.164
CDC42BPA_CDC42BPB	0.398	0.751	0.642
CDK3_CDK5	0.447	-0.162	0.469
CHD1_CHD2	-3.705	-1.774	-1.472
CHKA_CHKB	0.061	-0.418	0.900
CHUK_IKBKB	0.929	1.473	-2.349
CISD1_CISD2	-0.969	-1.883	-1.209
CLSTN1_CLSTN3	1.332	0.618	0.287
CLTA_CLTB	-0.266	0.097	0.021
CNNM2_CNNM4	0.643	0.440	-0.285
CNOT7_CNOT8	-5.194	-6.953	-7.569
COPS7A_COPS7B	-3.087	-2.851	-4.513
COQ8A_COQ8B	-0.729	-0.015	-1.906
CORO1B_CORO1C	-0.114	0.228	0.925
CPEB2_CPEB4	1.498	0.977	1.413
CPNE1_CPNE2	-0.620	0.171	0.547
CREB1_ATF1	0.336	0.201	-0.637
CREM_ATF1	0.123	0.323	0.494
CRTAP_P3H4	0.556	1.206	1.508
CRY1_CRY2	-1.004	0.135	0.656
CSNK1D_CSNK1E	-3.966	-3.169	-5.177
CSNK1G1_CSNK1G2	-0.258	0.318	0.357
CSNK2A1_CSNK2A2	-3.307	-5.932	-4.135
CTDSP1_CTDSP2	-0.767	-0.410	1.135
CUL7_CUL9	-0.331	-0.186	0.329
CYB5R1_CYB5R3	-0.209	-0.156	-0.122
CYTH1_CYTH2	1.319	-0.044	0.710
CYTH3_CYTH2	0.679	0.383	0.175
DCK_DGUOK	-0.296	-0.085	0.035
DCUN1D1_DCUN1D2	0.423	0.135	-0.408
DCUN1D4_DCUN1D5	-0.713	0.092	-0.523
DDHD2_SEC23IP	-0.800	-0.638	0.446
DDX19A_DDX19B	-6.460	-8.024	-7.062
DHRS4_DHRS4L2	0.420	0.005	-0.018
DIAPH1_DIAPH3	-0.601	0.669	-2.021
DMWD_WDR20	-0.397	-0.072	-0.094
DMXL1_DMXL2	0.063	-0.995	-0.873
DNAJA1_DNAJA2	-3.376	-3.188	-3.402
DNAJB12_DNAJB14	1.291	0.683	0.029
DNMT3A_DNMT3B	1.201	0.732	-0.573
DPF1_DPF2	-0.707	0.421	0.136
DPP8_DPP9	-1.148	-0.598	-0.307
DUSP16_DUSP8	0.894	-0.459	0.687
DYNC1LI1_DYNC1LI2	-0.451	-2.461	-1.943
DYRK2_DYRK3	0.711	0.124	1.267
EHD1_EHD4	-0.427	0.302	-0.542
ENTPD4_ENTPD7	0.995	0.503	0.278
EPN1_EPN2	0.428	-0.044	0.301
EPS15_EPS15L1	0.447	-0.004	-0.394
ERLIN1_ERLIN2	-0.677	-0.235	-0.212
EVI5_EVI5L	-1.614	-0.064	-0.380
EZH1_EZH2	0.774	-0.617	-0.357
EZR_NF2	1.847	1.263	0.939
FAHD2A_FAHD2B	-1.072	-0.306	0.684
FAM117B_GLCCI1	-0.171	-1.382	0.253
FAM160B1_FAM160B2	-0.293	1.805	0.575
FAM200A_FAM200B	0.507	0.964	0.402
FAM76A_FAM76B	1.074	0.846	0.054
FGFR1OP2_SIKE1	0.630	0.127	-0.156
FLOT1_FLOT2	-0.296	0.489	0.648
FN3K_FN3KRP	1.504	1.506	1.049
FNBP1L_TRIP10	0.156	0.495	0.544
FNDC3A_FNDC3B	-0.383	0.503	0.054
